id;status;sub_total;total;created_by;created_date;last_modified_by;last_modified_date
1;SHIPPED;15712.25;25283.72;yuck perspire circa;2026-04-07T17:34:11;pace so;2026-04-07T15:00:05
2;PENDING;27874.85;30821.7;rough cautious after;2026-04-07T23:12:40;who sunny;2026-04-08T05:20:15
3;CANCELLED;715.09;23975.33;whoever only below;2026-04-07T11:24:14;sharply;2026-04-07T22:54:38
4;DELIVERED;28618.47;20185.97;stealthily;2026-04-08T00:35:00;pace;2026-04-07T14:55:00
5;PAID;25908.77;29977.94;unnaturally phew pulp;2026-04-08T03:36:52;gadzooks;2026-04-07T11:00:49
6;DELIVERED;25732.89;12423.18;yahoo sturdy;2026-04-07T13:47:50;yowza where segregate;2026-04-08T03:28:56
7;DELIVERED;1619.19;10149.6;molasses yowza secret;2026-04-07T11:13:42;nearly huzzah;2026-04-07T11:05:12
8;SHIPPED;5872.33;3377.55;over vainly;2026-04-07T15:51:19;that;2026-04-08T02:29:43
9;CANCELLED;17618.54;12635.39;once scent;2026-04-07T23:53:56;dreamily pace ugh;2026-04-08T08:42:31
10;DELIVERED;29829.72;3886.35;worthwhile annually;2026-04-07T10:50:05;eek about extremely;2026-04-07T17:14:18
