id;name;quantity;price;created_by;created_date;last_modified_by;last_modified_date
1;pretty;31207;14398.56;same who meh;2026-04-03T01:30:38;habit;2026-04-02T09:22:22
2;hospitable incidentally;11454;12307.26;exonerate yet;2026-04-02T23:10:45;hearten mid;2026-04-02T22:12:29
3;upX;21796;1978.94;stabilise instantly what;2026-04-02T13:53:35;millet;2026-04-03T01:32:54
4;whenever vengeful mountain;26741;8615.15;whether blah grandiose;2026-04-02T15:26:46;strange zebra;2026-04-02T05:23:34
5;into equally;32695;6473.61;finding vastly;2026-04-02T06:47:27;squeaky sham dilate;2026-04-03T03:50:51
6;airbus;14447;29771.69;to whereas palatable;2026-04-02T12:47:59;fooey matter equatorial;2026-04-02T07:22:59
7;speedy lowball across;17687;23634.74;snow grandiose;2026-04-02T12:17:59;moralise;2026-04-02T13:00:59
8;innocently across;20818;31808.53;requirement duh;2026-04-02T05:49:59;gown heroine;2026-04-02T11:01:29
9;ohX;12195;5569.96;cuddly excluding brand;2026-04-03T04:26:07;reproachfully;2026-04-03T00:54:46
10;procurement scratchy;19894;29026.2;viciously tensely beneath;2026-04-02T22:44:15;boohoo;2026-04-02T14:23:12
